iter	RMSE
0	0.3774828156
1	0.3703614621
2	0.3637482888
3	0.3579892485
4	0.3525265997
5	0.3482443887
6	0.3434234392
7	0.3390756913
8	0.335034835
9	0.3323428343
10	0.3290457134
11	0.32687854
12	0.3238883365
13	0.3215287881
14	0.3190868595
15	0.315911511
16	0.3143239514
17	0.3126318341
18	0.3105567242
19	0.3079360287
20	0.3067912045
21	0.3057872296
22	0.3045268675
23	0.3022482266
24	0.3000661275
25	0.2986833501
26	0.2972887466
27	0.2958411264
28	0.2949372416
29	0.2938754261
30	0.2926374423
31	0.292128428
32	0.2904837277
33	0.2893219045
34	0.2888185813
35	0.2879045346
36	0.2871202606
37	0.2864196992
38	0.285574871
39	0.2847295722
40	0.2836314476
41	0.2830286707
42	0.281843338
43	0.2809991781
44	0.2799730081
45	0.279194099
46	0.2789419369
47	0.2778436866
48	0.2769803649
49	0.2763632398
50	0.2755528131
51	0.2752752122
52	0.274287945
53	0.273455802
54	0.2729259281
55	0.2721034651
56	0.2712815097
57	0.2701319052
58	0.268794351
59	0.2675407314
60	0.2667430188
61	0.2659694886
62	0.2649919564
63	0.264214014
64	0.2633094511
65	0.262111278
66	0.2613532324
67	0.2602717772
68	0.259692492
69	0.2592231639
70	0.2587870218
71	0.2580095291
72	0.2569554193
73	0.2559678879
74	0.2552345634
75	0.2548931719
76	0.253755468
77	0.2529813132
78	0.2520832327
79	0.2511223134
80	0.2502532194
81	0.2493762896
82	0.2484796262
83	0.2475911367
84	0.2470597553
85	0.2460002293
86	0.2452266412
87	0.2443983517
88	0.2433732739
89	0.2428519364
90	0.241557582
91	0.2403511365
92	0.2393734972
93	0.2386381344
94	0.2377726144
95	0.2375671775
96	0.2369146667
97	0.2366845737
98	0.235730923
99	0.2344202899
