iter	Passed	Remaining
0	3	303
1	6	294
2	9	293
3	12	294
4	15	292
5	18	294
6	22	293
7	25	289
8	28	284
9	30	277
10	34	276
11	38	278
12	41	276
13	44	271
14	48	272
15	51	268
16	54	264
17	57	261
18	60	257
19	63	253
20	66	249
21	69	245
22	72	241
23	74	236
24	77	232
25	80	229
26	83	226
27	86	222
28	89	218
29	92	215
30	95	211
31	98	208
32	101	206
33	104	202
34	107	199
35	110	196
36	113	192
37	116	189
38	119	186
39	122	183
40	125	180
41	128	176
42	131	173
43	134	170
44	137	167
45	140	164
46	143	162
47	147	159
48	152	158
49	156	156
50	159	153
51	162	150
52	166	147
53	169	144
54	172	141
55	175	138
56	179	135
57	182	132
58	185	129
59	189	126
60	192	123
61	196	120
62	199	117
63	203	114
64	206	111
65	209	107
66	213	105
67	216	101
68	220	99
69	223	95
70	226	92
71	230	89
72	233	86
73	237	83
74	240	80
75	243	76
76	246	73
77	250	70
78	253	67
79	257	64
80	260	61
81	263	57
82	267	54
83	271	51
84	273	48
85	276	45
86	279	41
87	282	38
88	285	35
89	288	32
90	292	28
91	295	25
92	298	22
93	301	19
94	304	16
95	307	12
96	310	9
97	313	6
98	316	3
99	319	0
