iter	Passed	Remaining
0	17	1717
1	23	1173
2	30	981
3	37	906
4	44	841
5	51	799
6	57	764
7	64	738
8	70	715
9	77	700
10	85	689
11	93	683
12	103	690
13	111	684
14	119	679
15	127	670
16	135	660
17	142	650
18	149	639
19	157	628
20	163	616
21	171	606
22	178	598
23	185	588
24	192	578
25	199	568
26	206	559
27	214	550
28	221	541
29	227	531
30	234	522
31	241	513
32	248	504
33	255	496
34	262	487
35	269	478
36	276	470
37	282	461
38	290	454
39	298	447
40	306	441
41	314	434
42	322	427
43	330	420
44	337	412
45	345	405
46	352	397
47	359	389
48	366	381
49	373	373
50	379	365
51	386	356
52	393	348
53	400	340
54	407	333
55	414	325
56	421	318
57	428	310
58	435	302
59	441	294
60	448	286
61	455	278
62	461	271
63	468	263
64	475	256
65	482	248
66	489	241
67	497	234
68	505	227
69	513	220
70	521	213
71	529	205
72	536	198
73	543	190
74	550	183
75	557	176
76	564	168
77	571	161
78	578	153
79	585	146
80	592	138
81	599	131
82	605	124
83	612	116
84	619	109
85	626	101
86	633	94
87	640	87
88	647	80
89	653	72
90	660	65
91	667	58
92	674	50
93	681	43
94	688	36
95	695	28
96	703	21
97	711	14
98	719	7
99	726	0
