iter	RMSE
0	0.5241506556
1	0.5153040513
2	0.5057728817
3	0.4977208265
4	0.4885227523
5	0.4816857881
6	0.4745411114
7	0.4676000775
8	0.4618914317
9	0.4547855644
10	0.4487531552
11	0.4440406699
12	0.4382479823
13	0.4341970176
14	0.4299981918
15	0.4252069155
16	0.4218098144
17	0.4176735379
18	0.4148169556
19	0.4114267136
20	0.4085838372
21	0.4055751876
22	0.4026794799
23	0.3992997786
24	0.396049996
25	0.3932035509
26	0.3902256734
27	0.3877436154
28	0.3854892516
29	0.3838630506
30	0.3816917378
31	0.3792220396
32	0.3777771263
33	0.3760497494
34	0.3738570364
35	0.3707184755
36	0.3685811357
37	0.3674534612
38	0.3660242169
39	0.3646668554
40	0.3627138182
41	0.3602941088
42	0.3590689435
43	0.3580278408
44	0.3560208506
45	0.3536074562
46	0.3528844107
47	0.3514610925
48	0.3500417431
49	0.3486521407
50	0.3462740518
51	0.3445971145
52	0.3430905885
53	0.3418488785
54	0.3406978011
55	0.3385845337
56	0.3369493923
57	0.3345463704
58	0.3335174697
59	0.3321775997
60	0.3313047715
61	0.3304480344
62	0.3286588891
63	0.3272522794
64	0.3263473124
65	0.3244692509
66	0.3226763857
67	0.3215474539
68	0.3201173227
69	0.3181074488
70	0.3165966446
71	0.3149421123
72	0.3124716512
73	0.3114510492
74	0.3095547486
75	0.3075792542
76	0.3062592386
77	0.30531164
78	0.304541425
79	0.3031281771
80	0.3011451318
81	0.2996191503
82	0.2982171402
83	0.2981012881
84	0.2965498923
85	0.2949363567
86	0.2932106303
87	0.2913753625
88	0.289623079
89	0.2878011004
90	0.2853414553
91	0.284519462
92	0.2827631152
93	0.281013976
94	0.2797320081
95	0.2788080724
96	0.2780418389
97	0.2767789576
98	0.2765706724
99	0.2758058736
