iter	Passed	Remaining
0	17	1696
1	24	1188
2	31	1006
3	37	904
4	45	856
5	52	817
6	58	783
7	65	758
8	72	736
9	79	716
10	86	699
11	93	686
12	100	673
13	107	661
14	114	649
15	121	639
16	128	627
17	136	623
18	143	612
19	150	600
20	156	590
21	163	580
22	170	569
23	176	559
24	183	551
25	190	542
26	197	532
27	203	523
28	210	515
29	217	506
30	223	497
31	230	489
32	237	481
33	243	472
34	250	465
35	257	457
36	264	449
37	270	441
38	278	435
39	284	427
40	291	419
41	298	412
42	304	404
43	311	396
44	319	390
45	327	384
46	334	377
47	341	369
48	347	362
49	354	354
50	361	347
51	368	339
52	375	332
53	382	325
54	388	318
55	395	310
56	402	303
57	409	296
58	416	289
59	422	281
60	429	274
61	437	267
62	444	261
63	451	254
64	458	246
65	464	239
66	471	232
67	478	224
68	485	218
69	492	210
70	499	203
71	506	196
72	513	189
73	519	182
74	526	175
75	533	168
76	540	161
77	547	154
78	553	147
79	560	140
80	567	133
81	574	126
82	581	119
83	588	112
84	595	105
85	602	98
86	609	91
87	616	84
88	623	77
89	630	70
90	637	63
91	644	56
92	650	48
93	657	41
94	665	35
95	672	28
96	679	21
97	686	14
98	693	7
99	701	0
