iter	Passed	Remaining
0	16	1636
1	24	1180
2	31	1013
3	38	915
4	45	856
5	52	820
6	59	787
7	65	757
8	72	734
9	79	711
10	85	695
11	92	680
12	99	666
13	106	655
14	113	641
15	120	631
16	126	618
17	133	608
18	140	598
19	147	588
20	153	577
21	161	572
22	168	563
23	175	555
24	183	550
25	190	542
26	198	535
27	204	526
28	211	518
29	218	508
30	224	500
31	231	492
32	238	483
33	245	475
34	251	467
35	258	459
36	265	452
37	272	444
38	279	437
39	286	430
40	294	423
41	302	418
42	310	411
43	320	408
44	328	401
45	337	396
46	345	390
47	353	383
48	361	376
49	370	370
50	378	363
51	387	357
52	395	350
53	404	344
54	412	337
55	420	330
56	429	324
57	438	317
58	446	310
59	454	302
60	462	295
61	469	288
62	479	281
63	486	273
64	495	266
65	503	259
66	511	252
67	519	244
68	526	236
69	533	228
70	540	220
71	548	213
72	555	205
73	562	197
74	569	189
75	575	181
76	582	174
77	590	166
78	597	158
79	603	150
80	610	143
81	617	135
82	624	127
83	630	120
84	637	112
85	644	104
86	652	97
87	659	89
88	667	82
89	674	74
90	682	67
91	688	59
92	695	52
93	703	44
94	710	37
95	718	29
96	725	22
97	734	14
98	741	7
99	748	0
